,Date,Stock Code,Open,Close,High,Low,Volume,Amount,Amplitude,Price Change %,Price Change,Turnover Rate
0,2024-01-02,601398,4.33,4.34,4.38,4.32,2071811,995101442.0,1.39,0.23,0.01,0.08
1,2024-01-03,601398,4.34,4.39,4.4,4.33,2488954,1201719346.0,1.61,1.15,0.05,0.09
2,2024-01-04,601398,4.39,4.44,4.45,4.38,2865676,1396443521.0,1.59,1.14,0.05,0.11
3,2024-01-05,601398,4.44,4.42,4.49,4.41,2860747,1403610998.0,1.8,-0.45,-0.02,0.11
4,2024-01-08,601398,4.42,4.43,4.46,4.4,3252257,1588242673.0,1.36,0.23,0.01,0.12
5,2024-01-09,601398,4.43,4.43,4.44,4.38,2257345,1097994737.0,1.35,0.0,0.0,0.08
6,2024-01-10,601398,4.42,4.4,4.46,4.38,2342435,1138531555.0,1.81,-0.68,-0.03,0.09
7,2024-01-11,601398,4.39,4.33,4.4,4.32,3306669,1587950047.0,1.82,-1.59,-0.07,0.12
8,2024-01-12,601398,4.32,4.36,4.38,4.31,2300665,1105695049.0,1.62,0.69,0.03,0.09
9,2024-01-15,601398,4.35,4.41,4.41,4.34,1810483,874409887.0,1.61,1.15,0.05,0.07
10,2024-01-16,601398,4.39,4.44,4.45,4.39,2480399,1207827031.0,1.36,0.68,0.03,0.09
11,2024-01-17,601398,4.43,4.39,4.45,4.39,2766317,1349034066.0,1.35,-1.13,-0.05,0.1
12,2024-01-18,601398,4.38,4.4,4.43,4.27,5232773,2503424284.0,3.64,0.23,0.01,0.19
13,2024-01-19,601398,4.38,4.44,4.44,4.34,3867215,1875529373.0,2.27,0.91,0.04,0.14
14,2024-01-22,601398,4.42,4.44,4.49,4.41,4420635,2173336066.0,1.8,0.0,0.0,0.16
15,2024-01-23,601398,4.44,4.44,4.47,4.39,3107488,1515560674.0,1.8,0.0,0.0,0.12
16,2024-01-24,601398,4.45,4.52,4.53,4.43,3348475,1650534905.0,2.25,1.8,0.08,0.12
17,2024-01-25,601398,4.53,4.56,4.6,4.52,3437584,1721285077.0,1.77,0.88,0.04,0.13
18,2024-01-26,601398,4.56,4.64,4.66,4.54,3899368,1970826387.0,2.63,1.75,0.08,0.14
19,2024-01-29,601398,4.63,4.71,4.75,4.63,3844041,1981081369.0,2.59,1.51,0.07,0.14
20,2024-01-30,601398,4.69,4.68,4.73,4.64,2914817,1498554326.0,1.91,-0.64,-0.03,0.11
21,2024-01-31,601398,4.67,4.72,4.74,4.65,2963859,1525456799.0,1.92,0.85,0.04,0.11
22,2024-02-01,601398,4.7,4.69,4.75,4.68,2993715,1544401622.0,1.48,-0.64,-0.03,0.11
23,2024-02-02,601398,4.69,4.72,4.75,4.64,4075978,2103998356.0,2.35,0.64,0.03,0.15
24,2024-02-05,601398,4.72,4.84,4.85,4.71,6159388,3242203982.0,2.97,2.54,0.12,0.23
25,2024-02-06,601398,4.84,4.87,4.93,4.82,5649137,3006603608.0,2.27,0.62,0.03,0.21
26,2024-02-07,601398,4.86,4.78,4.86,4.63,7753355,4010563947.0,4.72,-1.85,-0.09,0.29
27,2024-02-08,601398,4.71,4.71,4.72,4.64,4653693,2383629316.0,1.67,-1.46,-0.07,0.17
28,2024-02-19,601398,4.71,4.82,4.83,4.65,4797144,2503180356.0,3.82,2.34,0.11,0.18
29,2024-02-20,601398,4.82,4.9,4.91,4.78,3059781,1626681256.0,2.7,1.66,0.08,0.11
30,2024-02-21,601398,4.89,4.96,5.02,4.88,3467349,1875270275.0,2.86,1.22,0.06,0.13
31,2024-02-22,601398,4.95,4.97,4.98,4.91,2231279,1204599969.0,1.41,0.2,0.01,0.08
32,2024-02-23,601398,4.96,5.03,5.07,4.96,3583185,1967299036.0,2.21,1.21,0.06,0.13
33,2024-02-26,601398,5.03,4.87,5.03,4.85,3677179,1977747711.0,3.58,-3.18,-0.16,0.14
34,2024-02-27,601398,4.85,4.85,4.91,4.8,2940999,1560959829.0,2.26,-0.41,-0.02,0.11
35,2024-02-28,601398,4.85,4.88,4.92,4.78,3806094,2021720033.0,2.89,0.62,0.03,0.14
36,2024-02-29,601398,4.86,4.88,4.91,4.85,2520778,1342717318.0,1.23,0.0,0.0,0.09
37,2024-03-01,601398,4.87,4.89,4.9,4.84,2477511,1317310136.0,1.23,0.2,0.01,0.09
38,2024-03-04,601398,4.87,4.87,4.89,4.83,2557573,1359409110.0,1.23,-0.41,-0.02,0.09
39,2024-03-05,601398,4.87,5.01,5.03,4.85,4298467,2323265996.0,3.7,2.87,0.14,0.16
40,2024-03-06,601398,5.0,4.9,5.04,4.9,3527872,1910626811.0,2.79,-2.2,-0.11,0.13
41,2024-03-07,601398,4.9,4.93,4.95,4.89,3074594,1650760690.0,1.22,0.61,0.03,0.11
42,2024-03-08,601398,4.92,4.94,4.95,4.89,2472004,1328152980.0,1.22,0.2,0.01,0.09
43,2024-03-11,601398,4.93,4.92,4.94,4.88,2243026,1200710433.0,1.21,-0.4,-0.02,0.08
