,trade_date,open_price,close_price,high_price,low_price,change_percent,change_amount,volume,amount,amplitude,turnover_rate,sector
0,2024-01-02,970.26,960.57,970.26,959.38,-1.03,-10.0,5120881,12195629797.0,1.12,1.26,电池
1,2024-01-03,957.27,956.93,964.79,949.62,-0.38,-3.64,4363320,10618788439.0,1.58,1.07,电池
2,2024-01-04,955.52,943.48,955.52,938.4,-1.41,-13.45,4158401,11179913643.0,1.79,1.02,电池
3,2024-01-05,948.66,938.0,967.48,934.82,-0.58,-5.48,6086237,14493317048.0,3.46,1.49,电池
4,2024-01-08,928.32,913.06,940.45,913.06,-2.66,-24.94,5386072,11648470575.0,2.92,1.32,电池
5,2024-01-09,914.31,914.25,934.98,905.5,0.13,1.19,6263408,12774620977.0,3.23,1.54,电池
6,2024-01-10,912.1,921.71,939.12,902.44,0.82,7.46,7671277,13508948205.0,4.01,1.88,电池
7,2024-01-11,918.71,954.69,963.92,915.98,3.58,32.98,13392790,20265214354.0,5.2,3.28,电池
8,2024-01-12,950.08,942.82,967.52,942.29,-1.24,-11.87,12288529,16900897455.0,2.64,3.01,电池
9,2024-01-15,939.06,925.04,939.82,922.53,-1.89,-17.78,9210796,11708185631.0,1.83,2.26,电池
10,2024-01-16,924.37,935.0,940.37,917.29,1.08,9.96,8360832,14289981239.0,2.5,2.05,电池
11,2024-01-17,932.44,903.67,932.44,903.67,-3.35,-31.33,6876717,12297521156.0,3.08,1.69,电池
12,2024-01-18,896.44,906.07,906.68,878.93,0.27,2.4,7806434,15598907692.0,3.07,1.91,电池
13,2024-01-19,904.35,892.32,922.82,892.32,-1.52,-13.75,6367579,14187506023.0,3.37,1.56,电池
14,2024-01-22,884.15,839.94,884.15,834.64,-5.87,-52.38,7603690,17522023491.0,5.55,1.86,电池
15,2024-01-23,835.93,840.08,851.02,825.08,0.02,0.14,6068329,13461989357.0,3.09,1.49,电池
16,2024-01-24,843.65,837.34,847.72,809.23,-0.33,-2.74,6426060,12879626001.0,4.58,1.58,电池
17,2024-01-25,835.22,855.71,857.86,827.05,2.19,18.37,6449243,13386131239.0,3.68,1.58,电池
18,2024-01-26,852.14,841.11,860.19,839.51,-1.71,-14.6,5665345,12094814244.0,2.42,1.39,电池
19,2024-01-29,842.3,801.35,843.86,801.35,-4.73,-39.76,5860737,11768993466.0,5.05,1.44,电池
20,2024-01-30,798.24,778.7,803.96,777.59,-2.83,-22.65,5191988,11944096601.0,3.29,1.27,电池
21,2024-01-31,775.12,749.21,791.38,748.25,-3.79,-29.49,8924316,18990326319.0,5.54,2.19,电池
22,2024-02-01,744.46,734.88,755.03,729.55,-1.91,-14.33,6334818,11863044747.0,3.4,1.55,电池
23,2024-02-02,736.08,699.52,741.7,677.55,-4.81,-35.36,7772483,14005351502.0,8.73,1.91,电池
24,2024-02-05,694.81,649.09,694.81,626.46,-7.21,-50.43,9337064,17788283393.0,9.77,2.29,电池
25,2024-02-06,635.07,685.01,692.62,629.41,5.53,35.92,9214275,17920172359.0,9.74,2.26,电池
26,2024-02-07,685.59,690.35,708.81,679.33,0.78,5.34,9720990,18750225060.0,4.3,2.38,电池
27,2024-02-08,692.86,726.55,728.81,690.35,5.24,36.2,9996641,18025688628.0,5.57,2.45,电池
28,2024-02-19,732.48,735.68,741.09,723.98,1.26,9.13,7682399,14543288067.0,2.35,1.88,电池
29,2024-02-20,733.47,740.59,741.45,723.86,0.67,4.91,5530970,10742681854.0,2.39,1.36,电池
30,2024-02-21,735.62,759.53,779.68,731.43,2.56,18.94,9980877,14652065425.0,6.52,2.45,电池
31,2024-02-22,754.35,766.39,768.24,753.26,0.9,6.86,7433290,10804484691.0,1.97,1.82,电池
32,2024-02-23,769.96,782.17,782.68,763.61,2.06,15.78,8151028,12783417333.0,2.49,2.0,电池
33,2024-02-26,783.46,786.49,800.12,776.7,0.55,4.32,8455856,15881332706.0,2.99,2.07,电池
34,2024-02-27,783.3,808.89,808.89,780.09,2.85,22.4,7143181,14320012923.0,3.66,1.75,电池
35,2024-02-28,813.61,773.45,843.08,773.45,-4.38,-35.44,12450588,23467960678.0,8.61,3.05,电池
36,2024-02-29,765.87,807.6,808.73,765.87,4.42,34.15,9592954,20373508043.0,5.54,2.35,电池
37,2024-03-01,812.87,814.05,820.68,805.35,0.8,6.45,7722779,17147811883.0,1.9,1.89,电池
38,2024-03-04,814.06,804.34,822.11,795.92,-1.19,-9.71,6614948,14961016170.0,3.22,1.62,电池
39,2024-03-05,797.97,782.63,797.97,780.7,-2.7,-21.71,6000297,13182405009.0,2.15,1.47,电池
40,2024-03-06,780.71,794.08,804.66,778.19,1.46,11.45,5659909,11720677968.0,3.38,1.39,电池
41,2024-03-07,795.86,780.63,800.01,780.41,-1.69,-13.45,5505988,11998058138.0,2.47,1.35,电池
42,2024-03-08,779.76,784.04,789.18,772.5,0.44,3.41,4940182,10652389603.0,2.14,1.21,电池
43,2024-03-11,791.68,852.25,854.47,791.68,8.7,68.21,14186974,35930617394.0,8.01,3.48,电池
44,2024-03-12,856.59,854.22,858.31,844.89,0.23,1.97,11488345,32566910858.0,1.57,2.82,电池
