,Date,Stock Code,Open,Close,High,Low,Volume,Amount,Amplitude,Price Change %,Price Change,Turnover Rate
0,2024-01-02,600004,9.71,9.65,9.74,9.61,93892,91338192.0,1.34,-0.62,-0.06,0.4
1,2024-01-03,600004,9.65,9.56,9.72,9.53,147764,142929231.0,1.97,-0.93,-0.09,0.62
2,2024-01-04,600004,9.58,9.2,9.58,9.16,437033,407395977.0,4.39,-3.77,-0.36,1.85
3,2024-01-05,600004,9.16,9.15,9.31,9.12,188378,175014800.0,2.07,-0.54,-0.05,0.8
4,2024-01-08,600004,9.13,9.04,9.18,9.02,148884,135907594.0,1.75,-1.2,-0.11,0.63
5,2024-01-09,600004,9.05,9.17,9.25,9.02,205890,189675494.0,2.54,1.44,0.13,0.87
6,2024-01-10,600004,9.12,9.13,9.2,9.02,136447,125493994.0,1.96,-0.44,-0.04,0.58
7,2024-01-11,600004,9.06,9.22,9.25,9.05,130971,121270349.0,2.19,0.99,0.09,0.55
8,2024-01-12,600004,9.21,9.27,9.35,9.19,132850,124305287.0,1.74,0.54,0.05,0.56
9,2024-01-15,600004,9.35,9.42,9.53,9.29,230573,219015086.0,2.59,1.62,0.15,0.97
10,2024-01-16,600004,9.41,9.82,9.84,9.36,443904,432822913.0,5.1,4.25,0.4,1.88
11,2024-01-17,600004,9.83,9.6,9.86,9.58,255031,249903987.0,2.85,-2.24,-0.22,1.08
12,2024-01-18,600004,9.56,9.65,9.67,9.34,279901,267931156.0,3.44,0.52,0.05,1.18
13,2024-01-19,600004,9.6,9.57,9.67,9.48,154421,148747420.0,1.97,-0.83,-0.08,0.65
14,2024-01-22,600004,9.5,9.16,9.51,9.12,241438,226002786.0,4.08,-4.28,-0.41,1.02
15,2024-01-23,600004,9.2,9.23,9.26,9.02,190705,175820404.0,2.62,0.76,0.07,0.81
16,2024-01-24,600004,9.29,9.4,9.42,9.04,238029,222474453.0,4.12,1.84,0.17,1.01
17,2024-01-25,600004,9.4,9.62,9.62,9.31,292584,279394018.0,3.3,2.34,0.22,1.24
18,2024-01-26,600004,9.63,9.67,9.78,9.56,275550,268281871.0,2.29,0.52,0.05,1.16
19,2024-01-29,600004,9.71,9.76,10.01,9.66,376798,373743619.0,3.62,0.93,0.09,1.59
20,2024-01-30,600004,9.67,9.41,9.72,9.41,232449,223789824.0,3.18,-3.59,-0.35,0.98
21,2024-01-31,600004,9.35,9.34,9.49,9.25,229518,216380712.0,2.55,-0.74,-0.07,0.97
22,2024-02-01,600004,9.31,9.21,9.38,9.09,183179,170414585.0,3.1,-1.39,-0.13,0.77
23,2024-02-02,600004,9.19,9.21,9.41,8.95,260928,242493719.0,4.99,0.0,0.0,1.1
24,2024-02-05,600004,9.12,9.22,9.31,8.92,295854,270859990.0,4.23,0.11,0.01,1.25
25,2024-02-06,600004,9.1,9.67,9.67,9.02,291692,276640304.0,7.05,4.88,0.45,1.23
26,2024-02-07,600004,9.67,9.99,9.99,9.6,416243,412897860.0,4.03,3.31,0.32,1.76
27,2024-02-08,600004,10.05,10.12,10.52,10.05,415300,430421365.0,4.7,1.3,0.13,1.75
28,2024-02-19,600004,10.28,10.03,10.32,9.92,273814,276881067.0,3.95,-0.89,-0.09,1.16
29,2024-02-20,600004,10.0,9.98,10.01,9.89,150324,150587452.0,1.2,-0.5,-0.05,0.64
30,2024-02-21,600004,9.95,10.06,10.26,9.91,226889,231057813.0,3.51,0.8,0.08,0.96
31,2024-02-22,600004,10.03,10.12,10.15,10.0,159530,161760260.0,1.49,0.6,0.06,0.67
32,2024-02-23,600004,10.13,10.04,10.18,9.94,206744,208524264.0,2.37,-0.79,-0.08,0.87
33,2024-02-26,600004,10.03,9.96,10.08,9.92,210802,211976162.0,1.59,-0.8,-0.08,0.89
34,2024-02-27,600004,9.98,10.06,10.06,9.92,166905,168318159.0,1.41,1.0,0.1,0.71
35,2024-02-28,600004,10.06,9.94,10.21,9.94,258462,262462942.0,2.68,-1.19,-0.12,1.09
36,2024-02-29,600004,9.9,10.06,10.06,9.89,212319,213336988.0,1.71,1.21,0.12,0.9
37,2024-03-01,600004,10.05,10.0,10.06,9.94,149953,150681749.0,1.19,-0.6,-0.06,0.63
38,2024-03-04,600004,9.97,10.0,10.02,9.93,160038,160793659.0,0.9,0.0,0.0,0.68
39,2024-03-05,600004,9.96,9.94,9.98,9.88,171612,171387210.0,1.0,-0.6,-0.06,0.73
