,Close,Volume,SMA_5,SMA_20,RSI,MACD,Signal_Line,MACD_Hist
count,130.0,130.0,126.0,111.0,117.0,130.0,130.0,130.0
mean,311.9667692307692,153732.9,312.465,309.8673288288288,51.392484855903035,5.691655645375585,5.642444678982665,0.049210966392920184
std,38.060198079533286,76937.94446667629,37.17436906579586,34.126403586352545,17.165679145275273,8.237570632037551,7.441138337674573,3.220776218422174
min,254.29,62336.0,268.924,275.3605,13.59570661896231,-5.615959200504449,-3.5862416782046647,-8.08739224431033
25%,282.42499999999995,97458.0,280.981,281.38100000000003,39.23966207203205,-1.8937429583019565,-1.560121502720444,-1.9825780174817738
50%,300.175,137163.0,299.789,297.938,50.46015273154497,4.70901325961205,5.304144950640149,-0.23095781675874189
75%,349.90999999999997,179626.5,352.5205,344.22724999999997,61.39745525124001,11.603459398595675,11.399025453601594,1.1642461577138485
max,399.99,487075.0,387.56399999999996,371.1445,88.1665932128691,24.05036694130314,21.33023161603349,7.6255536176464425
