,Open,Close,High,Low,Volume,SMA_5,SMA_20,RSI,MACD,MACD_Signal,MACD_Hist
count,130.0,130.0,130.0,130.0,130.0,126.0,111.0,116.0,130.0,130.0,130.0
mean,255.92099999999996,255.96784615384615,260.7501538461538,251.70553846153845,300222.0,257.44792063492065,259.068472972973,49.213777827280744,3.1433956492878066,3.3333030170572076,-0.18990736776940115
std,15.500217245289265,14.938023746952604,15.001935894953787,14.839437715874393,180694.25458226047,10.006076650998171,5.679443667072043,12.311410444360542,5.511435560014946,4.759601953945587,2.0505571656967274
min,190.73,196.29,196.94,187.66,111066.0,215.73600000000002,241.73449999999997,10.01184834123221,-10.775542133403917,-6.171989452505511,-4.840234654669985
25%,250.82750000000001,250.57750000000001,255.2525,247.20000000000002,196902.25,251.5215,255.348,41.99992618255547,-0.9621810564895696,-0.7183147683696045,-1.2799977829158045
50%,257.765,257.695,262.72,254.755,249150.5,258.64,260.5255,49.766999244294766,2.4730682327067655,2.674791552167318,-0.3871851723142009
75%,265.015,265.1825,269.12,261.5175,344018.5,264.397,263.3757499999999,59.138446192303284,7.811047274808992,8.11959279350116,0.44912097833947007
max,294.77,297.77,300.27,273.43,1376465.0,272.314,266.20300000000003,71.84832967568884,15.868845665211552,11.979015482625021,8.971766926860237
