,Close,Volume,SMA5,SMA20,RSI,MACD_line,Signal_line
count,298.0,298.0,294.0,279.0,284.0,298.0,298.0
mean,209.86664429530202,250546.1476510067,209.95831292517008,210.35997491039427,52.647236514550634,2.5943320958051093,2.6084133090655226
std,42.90316387147704,146343.1278563712,42.37659634804438,40.645921573251805,14.655084736926213,5.138367392285302,4.801219807352562
min,134.49,75255.0,140.616,145.322,16.780122532334943,-5.0308691564386265,-4.509832103646186
25%,178.83,164146.25,179.507,179.72075,42.32620595278822,-1.0969055612335836,-0.9546615281171069
50%,192.82999999999998,214494.0,193.757,195.2275,54.775656716440395,1.7785286521720138,1.576952597393491
75%,256.36749999999995,279456.0,256.8885,257.35024999999996,63.6069460977934,4.714278685695817,5.082583211545438
max,297.77,1376465.0,272.314,266.20300000000003,91.81664585322855,20.189013404002424,15.769676352519792
